pl_name,hostname,sy_dist,pl_orbper,pl_rade,pl_bmasse,pl_eqt,pl_orbeccen,pl_orbincl,st_teff,st_rad,st_mass,disc_year,discoverymethod,disc_facility
"HD 114783 b","HD 114783",21.06280000,493.70000000000,,349.60000000,,0.144000,,5135.00,,0.853000,2001,"Radial Velocity","W. M. Keck Observatory"
"HD 12661 c","HD 12661",37.84780000,1708.00000000000,,575.88400000,,0.031000,,5748.00,1.110000,1.020000,2002,"Radial Velocity","Multiple Observatories"
"HD 27894 c","HD 27894",43.82140000,36.07000000000,,51.48846000,,0.015000,,,,0.800000,2017,"Radial Velocity","La Silla Observatory"
"TOI-4010 b","TOI-4010",177.50400000,1.34833500000,3.02000000,11.00000000,1441.00,0.030000,88.10000,4960.00,0.830000,0.880000,2023,"Transit","Transiting Exoplanet Survey Satellite (TESS)"
"HD 12661 b","HD 12661",37.84780000,262.70862000000,,772.32690000,,0.380000,,5645.00,1.200000,1.200000,2000,"Radial Velocity","Multiple Observatories"
"HD 68988 b","HD 68988",60.84470000,6.27711000000,,626.12510000,,0.120000,,5932.00,1.190000,1.280000,2001,"Radial Velocity","Multiple Observatories"
"HD 24040 b","HD 24040",46.62240000,3668.00000000000,,1226.82380000,,0.040000,,5802.00,1.300000,1.110000,2006,"Radial Velocity","W. M. Keck Observatory"
"TOI-2384 b","TOI-2384",191.51000000,2.13570304000,11.48920522,624.85064816,889.70,0.000000,88.37000,3943.00,0.611300,0.635000,2024,"Transit","Transiting Exoplanet Survey Satellite (TESS)"
"HAT-P-28 b","HAT-P-28",401.31900000,3.25721500000,13.58500000,198.95300000,1384.00,0.051000,88.00000,5680.00,1.103000,1.025000,2011,"Transit","HATNet"
"NN Ser d","NN Ser",515.81800000,2880.00000000000,,696.04421133,,0.240000,,,,0.535000,2010,"Eclipse Timing Variations","Multiple Observatories"
"NGTS-10 b","NGTS-10",,0.76689440000,13.50684500,687.14846000,1332.00,0.000000,,4600.00,0.697000,0.696000,2020,"Transit","Next-Generation Transit Survey (NGTS)"
"HD 156279 c","HD 156279",36.19450000,4818.25358000000,,3098.82696825,,0.261000,74.69900,,,0.940000,2018,"Radial Velocity","W. M. Keck Observatory"
"HD 168443 b","HD 168443",39.62450000,58.11187000000,,2424.39508860,,0.530000,,,,0.980000,1998,"Radial Velocity","W. M. Keck Observatory"
"HD 72659 c","HD 72659",51.89490000,35500.00000000000,,6165.87109580,,0.114000,40.00000,5929.00,1.360000,1.033000,2022,"Radial Velocity","Multiple Observatories"
"HD 72659 b","HD 72659",51.89490000,3549.00000000000,,906.12878836,,0.239300,,5929.00,1.360000,1.033000,2002,"Radial Velocity","W. M. Keck Observatory"
"HD 24040 c","HD 24040",46.62240000,515.40000000000,,63.88350981,,0.110000,,5776.49,1.387296,1.103940,2021,"Radial Velocity","Multiple Observatories"
"HD 68988 c","HD 68988",60.84470000,16000.00000000000,,4767.42610500,,0.450000,,5883.41,1.255733,1.171665,2021,"Radial Velocity","Multiple Observatories"
"HD 62364 c","HD 62364",53.11200000,74839.94555000000,,7923.46218651,,0.773000,38.78900,,,1.190000,2022,"Radial Velocity","Multiple Observatories"
"HD 168443 c","HD 168443",39.62450000,1753.10960000000,,5500.33841154,,0.210000,91.21800,,,0.980000,2000,"Radial Velocity","W. M. Keck Observatory"
"HD 168863 b","HD 168863",39.89790000,14773.93272000000,,2154.87659946,,0.187000,129.83900,,,0.800000,2022,"Radial Velocity","Multiple Observatories"
"HD 181234 b","HD 181234",47.74580000,7593.40512000000,,2980.91262925,,0.726000,98.73200,,,0.940000,2019,"Radial Velocity","La Silla Observatory"
"HD 183263 b","HD 183263",54.19550000,624.87404000000,,1103.18240070,,0.383000,,,,1.060000,2004,"Radial Velocity","W. M. Keck Observatory"
"HD 183263 c","HD 183263",54.19550000,4667.97841000000,,2958.98246917,,0.051000,73.71800,,,1.060000,2008,"Radial Velocity","W. M. Keck Observatory"
"HD 66428 b","HD 66428",53.28170000,2269.81726000000,,3478.94974302,,0.471000,16.63900,,,1.010000,2005,"Radial Velocity","W. M. Keck Observatory"
"HD 3167 d","HD 3167",47.28990000,8.41120000000,,4.33000000,,0.120000,,5261.00,0.880000,0.837000,2017,"Radial Velocity","Multiple Observatories"
"HD 3167 e","HD 3167",47.28990000,96.63000000000,,8.41000000,,0.150000,,5261.00,0.880000,0.837000,2022,"Radial Velocity","CHaracterising ExOPlanets Satellite (CHEOPS)"
"HD 3167 b","HD 3167",47.28990000,0.95964100000,1.67000000,4.97000000,1774.00,0.000000,83.40000,5261.00,0.880000,0.837000,2016,"Transit","K2"
"BD-210397 b","BD-210397",23.73240000,1891.00000000000,,214.00000000,,0.100000,,4051.00,0.747000,0.679000,2023,"Radial Velocity","La Silla Observatory"
"HD 108202 b","HD 108202",38.68460000,2990.00000000000,,953.48522100,,0.520000,56.00000,,,0.740000,2023,"Radial Velocity","La Silla Observatory"
"BD-210397 c","BD-210397",23.73240000,6240.00000000000,,1525.57635360,,0.430000,33.00000,,,0.690000,2023,"Radial Velocity","La Silla Observatory"
"HD 16905 b","HD 16905",39.74010000,10256.00000000000,,3591.46099910,,0.680000,43.00000,,,0.850000,2022,"Radial Velocity","Multiple Observatories"
"HD 114783 c","HD 114783",21.06280000,4352.00000000000,,603.87397330,,0.050000,159.00000,,,0.900000,2018,"Radial Velocity","W. M. Keck Observatory"
"GJ 832 b","GJ 832",4.96435000,3853.00000000000,,314.65012293,,0.050000,51.00000,,,0.450000,2008,"Radial Velocity","Anglo-Australian Telescope"
"HIP 70849 b","HIP 70849",24.05720000,3649.00000000000,,1430.22783150,,0.650000,96.00000,,,0.650000,2009,"Radial Velocity","La Silla Observatory"
"HD 27894 b","HD 27894",43.82140000,18.01939000000,,196.73578393,,0.047000,,,,0.810000,2005,"Radial Velocity","La Silla Observatory"
"HD 27894 d","HD 27894",43.82140000,5019.54244000000,,2063.65984665,,0.343000,101.52400,,,0.810000,2017,"Radial Velocity","La Silla Observatory"
"HD 29985 b","HD 29985",31.27070000,20608.14049000000,,1739.47487151,,0.261000,52.65800,,,0.750000,2022,"Radial Velocity","Multiple Observatories"
"KOI-1257 b","KOI-1257",,86.64766100000,10.54000000,460.83000000,511.00,0.772000,89.66000,5520.00,1.130000,0.990000,2014,"Transit","Kepler"
"Kepler-634 b","Kepler-634",888.02700000,5.16950177000,1.89000000,,,,,6075.00,1.240000,1.030000,2016,"Transit","Kepler"
"Kepler-684 b","Kepler-684",1731.27000000,6.77030200800,3.36000000,,,,,5493.00,0.860000,0.890000,2016,"Transit","Kepler"
"Kepler-393 b","Kepler-393",881.40400000,9.18241700000,1.29000000,,,,,6189.00,1.382000,,2014,"Transit","Kepler"
"KMT-2018-BLG-1976L b","KMT-2018-BLG-1976L",5840.00000000,,,705.57906354,,,,,,0.650000,2021,"Microlensing","KMTNet"
"HD 331093 b","HD 331093",50.19280000,621.62000000000,,476.74261050,,0.590000,0.37040,5544.00,,1.030000,2021,"Radial Velocity","Haute-Provence Observatory"
