# Title: Global Land and Ocean January Average Temperature Anomalies
# Units: Degrees Celsius
# Base Period: 1901-2000
Year,Anomaly
1850,-0.43
1851,-0.15
1852,-0.05
1853,-0.16
1854,-0.21
1855,-0.08
1856,0.19
1857,-0.1
1858,-0.13
1859,-0.15
1860,-0.17
1861,-0.44
1862,-0.41
1863,-0.16
1864,-0.39
1865,0.14
1866,0.09
1867,-0.2
1868,-0.34
1869,-0.01
1870,-0.21
1871,-0.32
1872,-0.28
1873,-0.2
1874,-0.16
1875,-0.13
1876,-0.19
1877,-0.08
1878,0.1
1879,-0.09
1880,-0.39
1881,-0.08
1882,0.08
1883,-0.26
1884,-0.29
1885,-0.35
1886,-0.29
1887,-0.64
1888,-0.2
1889,0.02
1890,-0.37
1891,-0.31
1892,-0.21
1893,-0.6
1894,-0.58
1895,-0.38
1896,-0.16
1897,-0.12
1898,-0.23
1899,-0.28
1900,-0.27
1901,-0.17
1902,-0.19
1903,-0.2
1904,-0.6
1905,-0.28
1906,-0.35
1907,-0.34
1908,-0.47
1909,-0.61
1910,-0.3
1911,-0.52
1912,-0.27
1913,-0.35
1914,-0.05
1915,-0.18
1916,-0.15
1917,-0.5
1918,-0.5
1919,-0.09
1920,-0.04
1921,-0.09
1922,-0.25
1923,-0.24
1924,-0.2
1925,-0.42
1926,0.15
1927,-0.25
1928,-0.08
1929,-0.36
1930,-0.25
1931,-0.02
1932,0.12
1933,-0.14
1934,-0.24
1935,-0.26
1936,-0.28
1937,-0.05
1938,0.03
1939,-0.03
1940,0.09
1941,0.13
1942,0.3
1943,-0.06
1944,0.3
1945,0.17
1946,0.25
1947,0.03
1948,0.03
1949,0.1
1950,-0.16
1951,-0.31
1952,0.14
1953,0.11
1954,-0.13
1955,0.18
1956,-0.1
1957,-0.04
1958,0.36
1959,0.13
1960,0.02
1961,0.1
1962,0.07
1963,-0.01
1964,-0.06
1965,-0.08
1966,-0.15
1967,-0.12
1968,-0.18
1969,-0.08
1970,0.16
1971,-0.07
1972,-0.16
1973,0.29
1974,-0.08
1975,0.03
1976,-0.03
1977,0.21
1978,0.12
1979,0.17
1980,0.34
1981,0.52
1982,0.09
1983,0.47
1984,0.28
1985,0.27
1986,0.25
1987,0.34
1988,0.51
1989,0.09
1990,0.37
1991,0.4
1992,0.45
1993,0.34
1994,0.25
1995,0.51
1996,0.27
1997,0.26
1998,0.57
1999,0.42
2000,0.3
2001,0.43
2002,0.67
2003,0.68
2004,0.59
2005,0.76
2006,0.59
2007,0.88
2008,0.25
2009,0.66
2010,0.74
2011,0.55
2012,0.49
2013,0.68
2014,0.74
2015,0.81
2016,1.16
2017,1.04
2018,0.84
2019,0.94
2020,1.17
2021,0.83
2022,0.92
2023,0.88
2024,1.29
2025,1.31
2026,1.12
